Height (in),Height (m),Weight (lbs),Weight (kg),MetLife Weight (lbs),Relative Weights (%),BMI (kg/m2)
74.00,1.88,180.00,81.65,171.00,105.26,23.11
74.00,1.88,215.00,97.52,171.00,125.73,27.60
72.00,1.83,210.00,95.25,163.50,128.44,28.48
72.00,1.83,210.00,95.25,163.50,128.44,28.48
73.00,1.85,188.00,85.28,167.00,112.57,24.80
69.00,1.75,176.00,79.83,154.00,114.29,25.99
69.00,1.75,209.00,94.80,154.00,135.71,30.86
71.00,1.80,200.00,90.72,160.00,125.00,27.89
76.00,1.93,231.00,104.78,179.00,129.05,28.12
71.00,1.80,180.00,81.65,160.00,112.50,25.10
73.00,1.85,188.00,85.28,167.00,112.57,24.80
73.00,1.85,180.00,81.65,167.00,107.78,23.75
74.00,1.88,185.00,83.91,171.00,108.19,23.75
74.00,1.88,160.00,72.57,171.00,93.57,20.54
69.00,1.75,180.00,81.65,154.00,116.88,26.58
70.00,1.78,185.00,83.91,157.00,117.83,26.54
72.00,1.83,197.00,89.36,163.50,120.49,26.72
73.00,1.85,189.00,85.73,167.00,113.17,24.94
75.00,1.91,185.00,83.91,174.50,106.02,23.12
78.00,1.98,219.00,99.34,179.00,122.35,25.31
79.00,2.01,230.00,104.33,179.00,128.49,25.91
76.00,1.93,205.00,92.99,179.00,114.53,24.95
74.00,1.88,230.00,104.33,171.00,134.50,29.53
76.00,1.93,195.00,88.45,179.00,108.94,23.74
72.00,1.83,180.00,81.65,163.50,110.09,24.41
71.00,1.80,192.00,87.09,160.00,120.00,26.78
75.00,1.91,225.00,102.06,174.50,128.94,28.12
77.00,1.96,203.00,92.08,179.00,113.41,24.07
74.00,1.88,195.00,88.45,171.00,114.04,25.04
73.00,1.85,182.00,82.55,167.00,108.98,24.01
74.00,1.88,188.00,85.28,171.00,109.94,24.14
78.00,1.98,200.00,90.72,179.00,111.73,23.11
73.00,1.85,180.00,81.65,167.00,107.78,23.75
75.00,1.91,200.00,90.72,174.50,114.61,25.00
73.00,1.85,200.00,90.72,167.00,119.76,26.39
75.00,1.91,245.00,111.13,174.50,140.40,30.62
75.00,1.91,240.00,108.86,174.50,137.54,30.00
74.00,1.88,215.00,97.52,171.00,125.73,27.60
69.00,1.75,185.00,83.91,154.00,120.13,27.32
71.00,1.80,175.00,79.38,160.00,109.38,24.41
74.00,1.88,199.00,90.26,171.00,116.37,25.55
73.00,1.85,200.00,90.72,167.00,119.76,26.39
73.00,1.85,215.00,97.52,167.00,128.74,28.37
76.00,1.93,200.00,90.72,179.00,111.73,24.34
74.00,1.88,205.00,92.99,171.00,119.88,26.32
74.00,1.88,206.00,93.44,171.00,120.47,26.45
70.00,1.78,186.00,84.37,157.00,118.47,26.69
72.00,1.83,188.00,85.28,163.50,114.98,25.50
77.00,1.96,220.00,99.79,179.00,122.91,26.09
74.00,1.88,210.00,95.25,171.00,122.81,26.96
70.00,1.78,195.00,88.45,157.00,124.20,27.98
76.00,1.93,244.00,110.68,179.00,136.31,29.70
75.00,1.91,195.00,88.45,174.50,111.75,24.37
73.00,1.85,200.00,90.72,167.00,119.76,26.39
75.00,1.91,200.00,90.72,174.50,114.61,25.00
76.00,1.93,212.00,96.16,179.00,118.44,25.81
76.00,1.93,224.00,101.60,179.00,125.14,27.27
78.00,1.98,210.00,95.25,179.00,117.32,24.27
74.00,1.88,205.00,92.99,171.00,119.88,26.32
74.00,1.88,220.00,99.79,171.00,128.65,28.25
76.00,1.93,195.00,88.45,179.00,108.94,23.74
77.00,1.96,200.00,90.72,179.00,111.73,23.72
81.00,2.06,260.00,117.93,179.00,145.25,27.86
78.00,1.98,228.00,103.42,179.00,127.37,26.35
75.00,1.91,270.00,122.47,174.50,154.73,33.75
77.00,1.96,200.00,90.72,179.00,111.73,23.72
75.00,1.91,210.00,95.25,174.50,120.34,26.25
76.00,1.93,190.00,86.18,179.00,106.15,23.13
74.00,1.88,220.00,99.79,171.00,128.65,28.25
72.00,1.83,180.00,81.65,163.50,110.09,24.41
72.00,1.83,205.00,92.99,163.50,125.38,27.80
75.00,1.91,210.00,95.25,174.50,120.34,26.25
73.00,1.85,220.00,99.79,167.00,131.74,29.03
73.00,1.85,211.00,95.71,167.00,126.35,27.84
73.00,1.85,200.00,90.72,167.00,119.76,26.39
70.00,1.78,180.00,81.65,157.00,114.65,25.83
70.00,1.78,190.00,86.18,157.00,121.02,27.26
70.00,1.78,170.00,77.11,157.00,108.28,24.39
76.00,1.93,230.00,104.33,179.00,128.49,28.00
68.00,1.73,155.00,70.31,151.00,102.65,23.57
71.00,1.80,185.00,83.91,160.00,115.63,25.80
72.00,1.83,185.00,83.91,163.50,113.15,25.09
75.00,1.91,200.00,90.72,174.50,114.61,25.00
75.00,1.91,225.00,102.06,174.50,128.94,28.12
75.00,1.91,225.00,102.06,174.50,128.94,28.12
75.00,1.91,220.00,99.79,174.50,126.07,27.50
68.00,1.73,160.00,72.57,151.00,105.96,24.33
74.00,1.88,205.00,92.99,171.00,119.88,26.32
78.00,1.98,235.00,106.59,179.00,131.28,27.16
71.00,1.80,250.00,113.40,160.00,156.25,34.87
73.00,1.85,210.00,95.25,167.00,125.75,27.71
76.00,1.93,190.00,86.18,179.00,106.15,23.13
74.00,1.88,160.00,72.57,171.00,93.57,20.54
74.00,1.88,200.00,90.72,171.00,116.96,25.68
79.00,2.01,205.00,92.99,179.00,114.53,23.09
75.00,1.91,222.00,100.70,174.50,127.22,27.75
73.00,1.85,195.00,88.45,167.00,116.77,25.73
76.00,1.93,205.00,92.99,179.00,114.53,24.95
74.00,1.88,220.00,99.79,171.00,128.65,28.25
74.00,1.88,220.00,99.79,171.00,128.65,28.25
73.00,1.85,170.00,77.11,167.00,101.80,22.43
72.00,1.83,185.00,83.91,163.50,113.15,25.09
74.00,1.88,195.00,88.45,171.00,114.04,25.04
73.00,1.85,220.00,99.79,167.00,131.74,29.03
74.00,1.88,230.00,104.33,171.00,134.50,29.53
72.00,1.83,180.00,81.65,163.50,110.09,24.41
73.00,1.85,220.00,99.79,167.00,131.74,29.03
69.00,1.75,180.00,81.65,154.00,116.88,26.58
72.00,1.83,180.00,81.65,163.50,110.09,24.41
73.00,1.85,170.00,77.11,167.00,101.80,22.43
75.00,1.91,210.00,95.25,174.50,120.34,26.25
75.00,1.91,215.00,97.52,174.50,123.21,26.87
73.00,1.85,200.00,90.72,167.00,119.76,26.39
72.00,1.83,213.00,96.62,163.50,130.28,28.89
72.00,1.83,180.00,81.65,163.50,110.09,24.41
76.00,1.93,192.00,87.09,179.00,107.26,23.37
74.00,1.88,235.00,106.59,171.00,137.43,30.17
72.00,1.83,185.00,83.91,163.50,113.15,25.09
76.00,1.93,230.00,104.33,179.00,128.49,28.00
77.00,1.96,235.00,106.59,179.00,131.28,27.87
74.00,1.88,210.00,95.25,171.00,122.81,26.96
77.00,1.96,222.00,100.70,179.00,124.02,26.33
75.00,1.91,210.00,95.25,174.50,120.34,26.25
76.00,1.93,230.00,104.33,179.00,128.49,28.00
80.00,2.03,220.00,99.79,179.00,122.91,24.17
74.00,1.88,180.00,81.65,171.00,105.26,23.11
74.00,1.88,190.00,86.18,171.00,111.11,24.39
75.00,1.91,200.00,90.72,174.50,114.61,25.00
78.00,1.98,210.00,95.25,179.00,117.32,24.27
73.00,1.85,194.00,88.00,167.00,116.17,25.59
73.00,1.85,180.00,81.65,167.00,107.78,23.75
74.00,1.88,190.00,86.18,171.00,111.11,24.39
75.00,1.91,240.00,108.86,174.50,137.54,30.00
76.00,1.93,200.00,90.72,179.00,111.73,24.34
71.00,1.80,198.00,89.81,160.00,123.75,27.62
73.00,1.85,200.00,90.72,167.00,119.76,26.39
74.00,1.88,195.00,88.45,171.00,114.04,25.04
76.00,1.93,210.00,95.25,179.00,117.32,25.56
76.00,1.93,220.00,99.79,179.00,122.91,26.78
74.00,1.88,190.00,86.18,171.00,111.11,24.39
73.00,1.85,210.00,95.25,167.00,125.75,27.71
74.00,1.88,225.00,102.06,171.00,131.58,28.89
70.00,1.78,180.00,81.65,157.00,114.65,25.83
72.00,1.83,185.00,83.91,163.50,113.15,25.09
73.00,1.85,170.00,77.11,167.00,101.80,22.43
73.00,1.85,185.00,83.91,167.00,110.78,24.41
73.00,1.85,185.00,83.91,167.00,110.78,24.41
73.00,1.85,180.00,81.65,167.00,107.78,23.75
71.00,1.80,178.00,80.74,160.00,111.25,24.83
74.00,1.88,175.00,79.38,171.00,102.34,22.47
74.00,1.88,200.00,90.72,171.00,116.96,25.68
72.00,1.83,204.00,92.53,163.50,124.77,27.67
74.00,1.88,211.00,95.71,171.00,123.39,27.09
71.00,1.80,190.00,86.18,160.00,118.75,26.50
74.00,1.88,210.00,95.25,171.00,122.81,26.96
75.00,1.91,240.00,108.86,174.50,137.54,30.00
73.00,1.85,190.00,86.18,167.00,113.77,25.07
75.00,1.91,190.00,86.18,174.50,108.88,23.75
75.00,1.91,185.00,83.91,174.50,106.02,23.12
79.00,2.01,290.00,131.54,179.00,162.01,32.67
73.00,1.85,175.00,79.38,167.00,104.79,23.09
75.00,1.91,185.00,83.91,174.50,106.02,23.12
76.00,1.93,200.00,90.72,179.00,111.73,24.34
74.00,1.88,220.00,99.79,171.00,128.65,28.25
76.00,1.93,170.00,77.11,179.00,94.97,20.69
78.00,1.98,220.00,99.79,179.00,122.91,25.42
74.00,1.88,190.00,86.18,171.00,111.11,24.39
76.00,1.93,220.00,99.79,179.00,122.91,26.78
72.00,1.83,205.00,92.99,163.50,125.38,27.80
74.00,1.88,200.00,90.72,171.00,116.96,25.68
76.00,1.93,250.00,113.40,179.00,139.66,30.43
74.00,1.88,225.00,102.06,171.00,131.58,28.89
75.00,1.91,215.00,97.52,174.50,123.21,26.87
78.00,1.98,210.00,95.25,179.00,117.32,24.27
75.00,1.91,215.00,97.52,174.50,123.21,26.87
72.00,1.83,195.00,88.45,163.50,119.27,26.45
74.00,1.88,200.00,90.72,171.00,116.96,25.68
72.00,1.83,194.00,88.00,163.50,118.65,26.31
74.00,1.88,220.00,99.79,171.00,128.65,28.25
70.00,1.78,180.00,81.65,157.00,114.65,25.83
71.00,1.80,180.00,81.65,160.00,112.50,25.10
70.00,1.78,170.00,77.11,157.00,108.28,24.39
75.00,1.91,195.00,88.45,174.50,111.75,24.37
71.00,1.80,180.00,81.65,160.00,112.50,25.10
71.00,1.80,170.00,77.11,160.00,106.25,23.71
73.00,1.85,206.00,93.44,167.00,123.35,27.18
72.00,1.83,205.00,92.99,163.50,125.38,27.80
71.00,1.80,200.00,90.72,160.00,125.00,27.89
