Height (in),Height (m),Weight (lbs),Weight (kg),MetLife Weight (lbs),Relative Weights (%),BMI (kg/m2)
61.0,1.55,108,49.0,122,88.52,20.4
67.0,1.70,140,63.5,140,100.0,21.9
66.0,1.68,137,62.1,137,100.0,22.1
66.0,1.68,138,62.6,137,100.7,22.3
64.0,1.63,118,53.5,131,90.08,20.3
65.5,1.66,115,52.2,134,85.82,18.8
64.5,1.64,112,50.8,131,85.50,18.9
66.0,1.68,120,54.4,137,87.59,19.4
66.0,1.68,114,51.7,137,83.21,18.4
66.5,1.69,120,54.4,137,87.59,19.1
67.0,1.70,128,58.1,140,91.43,20.0
67.0,1.70,126,57.2,140,90.00,19.7
69.0,1.75,120,54.4,146,82.19,17.7
65.5,1.66,120,54.4,134,89.55,19.7
65.0,1.65,118,53.5,134,88.06,19.6
68.0,1.73,130,59.0,143,90.91,19.8
67.0,1.70,125,56.7,140,89.29,19.6
70.0,1.78,135,61.2,149,90.60,19.4
68.0,1.73,123,55.8,143,86.01,18.7
67.0,1.70,130,59.0,140,92.86,20.4
69.0,1.75,140,63.5,146,95.89,20.7
63.0,1.60,106,48.1,128,82.81,18.8
65.5,1.66,119,54.0,134,88.81,19.5
70.0,1.78,143,64.9,149,95.97,20.5
66.3,1.68,118,53.5,137,86.13,18.9
68.0,1.73,132,59.9,143,92.31,20.1
68.5,1.74,124,56.2,143,86.71,18.6
66.0,1.68,116,52.6,137,84.67,18.7
65.0,1.65,120,54.4,134,89.55,20.0
68.3,1.73,130,59.0,143,90.91,19.6
65.0,1.65,114,51.7,134,85.07,19.0
67.0,1.70,120,54.4,140,85.71,18.8
66.0,1.68,116,52.6,137,84.67,18.7
65.5,1.66,118,53.5,134,88.06,19.3
65.0,1.65,115,52.2,134,85.82,19.1
66.5,1.69,124,56.2,137,90.51,19.7
66.0,1.68,124,56.2,137,90.51,20.0
67.0,1.70,115,52.2,140,82.14,18.0
66.0,1.68,116,52.6,137,84.67,18.7
69.0,1.75,135,61.2,146,92.47,19.9
67.0,1.70,125,56.7,140,89.29,19.6
65.5,1.66,110,49.9,134,82.09,18.0
68.0,1.73,121,54.9,143,84.62,18.4
67.0,1.70,118,53.5,140,84.29,18.5
68.0,1.73,120,54.4,143,83.92,18.2
69.0,1.75,125,56.7,146,85.62,18.5
68.0,1.73,119,54.0,143,83.22,18.1
70.0,1.78,128,58.1,149,85.91,18.4
67.0,1.70,120,54.4,140,85.71,18.8
65.0,1.65,105,47.6,134,78.36,17.5
64.0,1.63,108,49.0,131,82.44,18.5
67.0,1.70,114,51.7,140,81.43,17.9
64.0,1.63,110,49.9,131,83.97,18.9
69.0,1.75,129,58.5,146,88.36,19.0
67.0,1.70,115,52.2,140,82.14,18.0
66.0,1.68,110,49.9,137,80.29,17.8
63.0,1.60,100,45.4,128,78.13,17.7
68.0,1.73,120,54.4,143,83.92,18.2
69.0,1.75,114,51.7,146,78.08,16.8
68.0,1.73,116,52.6,143,81.12,17.6
70.0,1.78,131,59.4,149,87.92,18.8
63.0,1.60,108,49.0,128,84.38,19.1
68.0,1.73,118,53.5,143,82.52,17.9
66.0,1.68,110,49.9,137,80.29,17.8
71.0,1.80,145,65.8,152,95.39,20.2
69.0,1.75,133,60.3,146,91.10,19.6
64.0,1.63,118,53.5,131,90.08,20.3
63.0,1.60,110,49.9,128,85.94,19.5
