1900,9.4
1901,2.7
1902,5.1
1903,24.4
1904,42.1
1905,63.3
1906,54.1
1907,61.7
1908,48.5
1909,43.9
1910,18.5
1911,5.7
1912,3.6
1913,1.4
1914,9.6
1915,47.4
1916,57
1917,104.2
1918,80.8
1919,63.5
1920,37.6
1921,26.1
1922,14.2
1923,5.8
1924,16.7
1925,44.4
1926,63.9
1927,68.8
1928,77.8
1929,64.9
1930,35.6
1931,21.1
1932,11.1
1933,5.5
1934,8.7
1935,36.1
1936,79.7
1937,114.4
1938,109.6
1939,88.8
1940,67.8
1941,47.5
1942,30.4
1943,16.3
1944,9.7
1945,33.2
1946,92.6
1947,151.6
1948,136.3
1949,134.7
1950,83.9
1951,69.4
1952,31.5
1953,13.9
1954,4.4
1955,38
1956,141.7
1957,190.2
1958,184.8
1959,159
1960,112.3
1961,53.9
1962,37.5
1963,27.9
1964,10.2
1965,15.1
1966,47
1967,93.8
1968,105.9
1969,105.5
1970,104.5
1971,66.6
1972,68.9
1973,38
1974,34.5
1975,15.5
1976,12.6
1977,27.5
1978,92.5
1979,155.4
1980,154.6
1981,140.5
1982,115.9
1983,66.8
1984,45.7
1985,18
1986,13.4
1987,29.4
1988,100.2
1989,157.6
1990,142.6
1991,145.7
1992,94.3
1993,54.6
1994,29.9
1995,17.5
1996,8.6
1997,21.5
1998,64.3
1999,93.3
2000,119.6
2001,111
2002,104
2003,63.7
2004,40.4
2005,29.8
2006,15.2
2007,7.5
2008,2.9
2009,3.1
2010,16.5
2011,55.7
2012,57.7
2013,64.9
