Site,State,LatN,LonW,Q710,Area,Slopw,Length,Elev,Precip,Intensity,Janmin,BFI
1010000,ME,46.4200,69.4259,93.052,1341,5.81,70,1470,40.23,2.2,32,0.487
1022500,ME,44.3629,67.5610,31.139,227,10.94,38.4,320,41.98,3.2,33.98,0.55
1030500,ME,45.3018,68.1807,70.089,1418,4.07,88.4,570,39.25,2.7,33.08,0.577
1031500,ME,45.1031,69.1855,18.45,298,26.45,36.6,1050,42.24,3.1,33.26,0.471
1033500,ME,45.1658,69.0013,48.49,324,33.85,38.8,1150,43.35,3.1,33.26,0.542
1035000,ME,45.1104,68.2829,46.694,299,10.54,22.2,420,40.05,3,33.26,0.725
1038000,ME,44.1323,69.3538,8.987,145,14.95,25.9,340,42.24,3.1,33.98,0.566
1047000,ME,44.5209,69.5720,45.659,353,48.55,40.4,1280,44.22,2.4,32.9,0.49
1048000,ME,44.4226,69.5621,45.641,514,14.7,58.5,1040,43.38,2.5,33.44,0.519
1052500,NH,44.5240,71.0325,15.438,152,41.04,24.7,2180,48.75,2.4,32.36,0.465
1054200,ME,44.2327,70.5847,9.579,69.6,104.62,15.9,2360,46.08,3.3,33.08,0.428
1055000,ME,44.3832,70.3517,7.066,96.9,86.91,18,1830,47,2.8,32.9,0.434
1055500,ME,44.1610,70.1349,13.761,169,11.94,25.1,1060,41.82,2.9,33.8,0.514
1060000,ME,43.4757,70.1045,24.256,141,10.31,29.8,220,43,3,34.16,0.445
1064500,NH,43.5927,71.0529,96.861,385,50.99,35.1,1860,50.57,3.3,33.62,0.553
1073000,NH,43.0855,70.5756,0.52,12.1,21.5,7.9,200,41.4,2.9,34.7,0.482
1074500,NH,44.0323,71.3818,26.397,104,108.8,14.7,2800,55.88,2.7,33.08,0.513
1075000,NH,43.5834,71.4048,56.141,193,80.7,23.5,2490,54.48,2.6,33.26,0.503
1076000,NH,43.4746,71.5042,14.906,143,107.1,22.4,1580,46.02,2.6,33.62,0.475
1076500,NH,43.4533,71.4110,116.527,622,42,40.5,1850,48.53,2.6,33.44,0.506
1078000,NH,43.3404,71.4454,6.011,85.8,22.6,21.5,1260,44.63,2.7,33.8,0.486
1094000,NH,42.5127,71.3024,12.927,171,31.2,34.2,810,43.7,3.2,33.98,0.516
1106000,RI,41.3330,71.0747,0.054,8,32.2,6,140,43,3.4,35.78,0.486
1111300,RI,41.5852,71.4111,0.386,16,35.1,7.2,540,45,3.5,35.06,0.498
1111500,RI,41.5947,71.3347,12.903,91.2,23.6,18.1,500,45,3.5,35.06,0.587
1117500,RI,41.2642,71.4053,27.936,100,4.41,18.1,200,45.2,3.5,35.6,0.774
1117800,RI,41.3426,71.4316,7.284,35.2,31.1,10.7,360,47,3.5,35.06,0.681
1118000,RI,41.2953,71.4301,19.654,72.4,16.2,14,300,47,3.5,35.24,0.684
1118500,RI,41.2301,71.5001,68.872,295,2.71,37.2,200,46,3.5,35.78,0.726
1121000,CT,41.5035,72.1010,0.945,28.6,67.9,10.4,640,43.5,2.8,34.88,0.472
1134500,VT,44.3042,71.5013,6.034,75.2,78.4,17,1700,43.2,2.4,32.54,0.459
1137500,NH,44.1608,71.3752,27.321,87.6,72,21.1,2510,52.07,3.2,33.26,0.513
1142500,VT,43.5604,72.3930,1.887,30.5,80.4,10.2,1320,39.06,2.5,33.26,0.594
1144000,VT,43.4251,72.2507,88.764,690,13.1,49.7,1300,41.23,2.4,32.9,0.55
1145000,NH,43.3900,72.0450,4.393,80.5,50.2,14.4,1400,43.67,2.7,33.8,0.492
1153500,VT,43.1231,72.3105,6.048,103,56.5,21.6,1340,44,2.7,33.26,0.486
1165000,MA,42.4057,72.0656,2.029,19.4,27.2,11.8,1110,43.24,3,34.16,0.491
1165500,MA,42.3832,72.1334,0.618,50.5,51.9,12.8,1060,42.2,3,33.98,0.518
1169000,MA,42.3818,72.4332,8.505,89,65.6,21,1440,48.8,3.1,33.98,0.459
1170100,MA,42.4212,72.4016,4.716,41.4,71.8,17.4,1380,46,3.2,34.34,0.487
1174000,MA,42.2842,72.2005,0.015,3.4,68.2,5.9,1020,44.5,3.2,34.34,0.496
1174900,MA,42.2008,72.2212,0.094,2.6,165,3.9,900,45,3.5,34.7,0.436
1175500,MA,42.1604,72.1959,35.856,189,11.8,26,800,44.4,2.9,34.34,0.649
1181000,MA,42.1414,72.5346,5.714,94,54.9,21,1420,47.5,3.2,33.98,0.448
1188000,CT,41.4710,72.5755,0.655,4.1,77.2,3.8,920,48,2.8,34.88,0.479
1198000,MA,42.1131,73.2328,3.294,51,54.2,15.2,1180,44.2,3.4,34.34,0.547
1201500,CT,41.3112,73.2507,14.39,67.5,11.7,25,548,45.5,2.8,35.24,0.555
1204000,CT,41.2850,73.1330,6.183,75.1,48.4,19.3,730,44.5,2.9,35.06,0.508
